"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1933732979635073026","Sat Jun 14 03:47:24 +0000 2025","1","Sebuah kebakaran besar terjadi di sebuah bengkel yang terletak di Pasar Parung pada pagi Sabtu 14 Juni 2025. Api dengan cepat membakar dan menghanguskan bangunan tersebut. Api juga merambat ke bangunan lain di sekitar lokasi. Penyebab kebakaran hingga saat ini belum diketahui. https://t.co/dx6Q4wi2HS","1933732979635073026","https://pbs.twimg.com/amplify_video_thumb/1933732529632391170/img/EgtnoigwbJ5r8B0d.jpg","","in","","1","0","0","https://x.com/undefined/status/1933732979635073026","502140136",
"1933732819441942607","Sat Jun 14 03:46:45 +0000 2025","159","TERKINI 10 Pasukan Bomba Israel digerakkan ke Lezion untuk misi memadam kebakaran dan juga menyelamatkan penduduk haram Israel yang terkena serangan Iran tadi","1933732819441942607","","","in","","3","4","20","https://x.com/undefined/status/1933732819441942607","2194068895",
"1933716958459146419","Sat Jun 14 03:46:33 +0000 2025","0","@semprulbth Iyaa fotoku lama terbakar semua waktu kamarku kebakaran","1933732769236123972","","semprulbth","in","","0","1","0","https://x.com/undefined/status/1933732769236123972","1302479517403852801",
"1933731522827505740","Sat Jun 14 03:41:36 +0000 2025","0","AYO GUE UDAH SIAP MENYAKSIKAN RP LI KEBAKARAN","1933731522827505740","","","in","","0","0","0","https://x.com/undefined/status/1933731522827505740","1272494918905155585",
"1933557625121317059","Sat Jun 14 03:40:09 +0000 2025","820","@bacottetanggaid Prinsip pribadi : kalo strobo warna merah (ambulance pemadam kebakaran) langsung minggir. Tapi kalo strobo warna biru antepin aja sampe dia kesel sendiri","1933731157633536415","","bacottetanggaid","in","","2","5","36","https://x.com/undefined/status/1933731157633536415","112054533",
"1933725406483673409","Sat Jun 14 03:28:44 +0000 2025","0","@NagiSseirhiro soalnya yang brondong satunya juga emosian sih jadi deh KEBAKARAN","1933728284065607810","","NagiSseirhiro","in","","0","0","0","https://x.com/undefined/status/1933728284065607810","2334589374",
"1933712405827309676","Sat Jun 14 03:26:01 +0000 2025","7","@Duren___ Jadi kalau ada kebakaran hutan itu tidak kebetulan ya","1933727599366402116","","Duren___","in","","0","1","0","https://x.com/undefined/status/1933727599366402116","1374686160748830724",
"1933727192846119259","Sat Jun 14 03:24:24 +0000 2025","125","Sebuah rudal Iran menghantam rumah warga Palestina di kota al za'im Yerusalem. Menyebabkan kebakaran hebat. Alhamdulillah bangat ya rudal Iran sangat diridhoi aulloh utk menyasar penduduk Palestina. Dan membuat orang orang Palestina makin susaaaaaaah... subhanaallah https://t.co/rkNknbfiDo","1933727192846119259","https://pbs.twimg.com/ext_tw_video_thumb/1933727171971014656/pu/img/XBvVUy0zuye58aaY.jpg","","in","","1","24","12","https://x.com/undefined/status/1933727192846119259","1965092424",
"1933725956176556312","Sat Jun 14 03:23:15 +0000 2025","0","@neopolitanaa Cobain dah setiap tarikannya bener bener enak. Ngepod juga kayanya enak tapi asepnya kebanyakan anjir kaya kebakaran","1933726903350997457","","neopolitanaa","in","","0","1","0","https://x.com/undefined/status/1933726903350997457","1625533632675991554",
"1933726693015105632","Sat Jun 14 03:22:25 +0000 2025","0","Karhutla Kembali Terjadi Di Rohul Ketua DPC PJS Minta Proses Hukum Tegas https://t.co/Ror0suFKRc https://t.co/evt10vGvUB","1933726693015105632","https://pbs.twimg.com/media/GtX6LYubMAEs_Et.jpg","","in","","0","0","0","https://x.com/undefined/status/1933726693015105632","1869735960868798464",
